PL,NAME,YEAR,TEAM,Avg. Mile,TIME,SCORE,
1,Maelle Porcher,JR-3,Iowa State,05:27.5,16:57.6,1,
2,Bella Heikes,SR-4,Iowa State,05:29.1,17:02.4,2,
3,Riley Beach,JR-3,Iowa State,05:31.1,17:08.7,3,
4,Taylor Briggs,SR-4,Iowa State,05:32.3,17:12.5,4,
5,Josie Baker,FR-1,Iowa State,05:32.6,17:13.6,5,
6,Sydney Morrell,SO-2,Iowa State,05:32.8,17:14.1,6,
7,Janette Schraft,?,Unattached,05:33.3,17:15.7,,
8,Claire White,FR-1,Iowa State,05:34.3,17:18.6,7,
9,Becca Heitzig,FR-1,Iowa State,05:35.3,17:22.0,,
10,Emma Hoins,SR-4,Northern Iowa,05:35.7,17:23.1,8,
11,Keelee Leitzen,FR-1,Iowa State,05:39.2,17:34.0,,
12,Sheridan Wheeler,?,Unattached,05:39.2,17:34.0,,
13,Meghan Wheatley,FR-1,Northern Iowa,05:39.5,17:34.9,9,
14,Makayla Clark,SO-2,Iowa State,05:40.4,17:37.6,,
15,Mya Trober,SO-2,Iowa State,05:41.3,17:40.4,,
16,Aspen Fulbright,JR-3,Iowa State,05:41.8,17:41.9,,
17,Emilie Meyer,SR-4,Drake,05:41.8,17:42.0,10,
18,Tyla Lumley,JR-3,Drake,05:41.8,17:42.2,11,
19,Melody Ochana,SR-4,Northern Iowa,05:42.9,17:45.6,12,
20,Ashlyn Keeney,JR-3,Iowa State,05:43.5,17:47.2,,
21,Kate Crawford,SR-4,Northern Iowa,05:45.0,17:51.9,13,
22,Millie Hill,JR-3,Northern Iowa,05:46.9,17:57.9,14,
23,Camryn Sattler,FR-1,Iowa State,05:47.1,17:58.5,,
24,Anastasia Kirillov,SR-4,Drake,05:47.4,17:59.5,15,
25,Breanna Burak,FR-1,Drake,05:47.5,17:59.6,16,
26,Eden Mueller,SO-2,Northern Iowa,05:48.8,18:03.7,17,
27,Leah Klapatauskas,FR-1,Northern Iowa,05:50.8,18:10.0,18,
28,Ruby Hughes,FR-1,Iowa State,05:52.6,18:15.6,,
29,Brooke O'Brien,SO-2,Northern Iowa,06:00.5,18:40.2,,
30,McKinley Wheeler,?,Unattached,06:05.9,18:56.8,,
31,Clare Wright,FR-1,Northern Iowa,06:10.2,19:10.2,,
32,Chiara Belfico,SR-4,Drake,06:16.0,19:28.3,19,
33,Gracie Foster,FR-1,Drake,06:18.3,19:35.4,20,
34,Lauren Klein,SR-4,Northern Iowa,06:21.8,19:46.3,,
35,Hannah Kilday,FR-1,Drake,06:28.8,20:08.1,21,
36,Maia Italia,SR-4,Drake,06:41.2,20:46.5,,
37,Hannah Quinn,FR-1,Drake,06:43.9,20:55.1,,
0,Erin Macfarlane,SO-2,Drake,,DNF,,
0,Olivia Verde,FR-1,Iowa State,,DNF,,
0,Kiki Connell,SR-4,Iowa State,,DNS,,