PL,NAME,YEAR,TEAM,Avg. Mile,TIME,SCORE
1,Ceili McCabe,SR-4,West Virginia,05:06.5,19:02.6,1
2,Juliet Cherubet,SO-2,Texas Tech,05:10.3,19:16.9,2
3,Joy Naukot,FR-1,West Virginia,05:10.6,19:18.1,3
4,Judy Chepkoech,FR-1,Arizona State,05:14.5,19:32.6,4
5,Lexy Halladay-Lowry,SR-4,BYU,05:19.3,19:50.5,5
6,Riley Chamberlain,JR-3,BYU,05:20.3,19:54.3,6
7,Taylor Rohatinsky,SO-2,BYU,05:20.6,19:55.3,7
8,Erin Vringer,SO-2,Utah,05:20.9,19:56.5,8
9,Maelle Porcher,JR-3,Iowa State,05:21.4,19:58.2,9
10,Carmen Alder,JR-3,BYU,05:21.5,19:58.8,10
11,Mckaylie Caesar,SR-4,Utah,05:21.6,19:59.0,11
12,Sarah Tait,SR-4,West Virginia,05:21.7,19:59.3,12
13,Destiny Everett,SR-4,BYU,05:21.7,19:59.6,13
14,Josphine Mwaura,SO-2,Oklahoma State,05:22.4,20:02.0,14
15,Sivan Auerbach,SR-4,Oklahoma State,05:22.7,20:03.3,15
16,Victoria Lagat,FR-1,Oklahoma State,05:23.0,20:04.2,16
17,Abbey Nechanicky,FR-1,Colorado,05:23.5,20:06.2,17
18,Annastasia Peters,SO-2,Utah,05:23.7,20:07.1,18
19,Carlee Hansen,SR-4,BYU,05:24.1,20:08.4,19
20,Madison Trippett,SR-4,West Virginia,05:24.1,20:08.6,20
21,Anastasia Chepkorir,SO-2,Texas Tech,05:25.3,20:12.7,21
22,Katarzyna Nowakowska,SO-2,Utah,05:25.8,20:14.9,22
23,Anastaysia Davis,SR-4,BYU,05:26.6,20:17.9,23
24,Taylor Lovell,JR-3,BYU,05:26.8,20:18.6,
25,Emily Bryce,JR-3,West Virginia,05:27.4,20:20.6,24
26,Ruth Kimeli,FR-1,Baylor,05:28.4,20:24.6,25
27,Colleen Stegmann,SO-2,Oklahoma State,05:28.7,20:25.7,26
28,Nelah Roberts,FR-1,BYU,05:29.3,20:27.9,
29,Morgan Jensen,SR-4,Utah,05:29.8,20:29.8,27
30,Claire Curtsinger,JR-3,Cincinnati,05:30.5,20:32.3,28
31,Jessie Secor,SO-2,Colorado,05:31.1,20:34.5,29
32,Katja Bauerle,SR-4,Colorado,05:31.7,20:36.6,30
33,Sheilah Bii,FR-1,Texas Tech,05:32.0,20:37.8,31
34,Jinane Mahi,SO-2,Oklahoma State,05:32.0,20:38.0,32
35,Dorcas Kiptanui,FR-1,Kansas,05:32.1,20:38.2,33
36,Jenna Hutchins,SO-2,BYU,05:32.3,20:39.2,
37,Evaline Chepkoech,FR-1,Arizona State,05:33.4,20:43.1,34
38,Cameron McConnell,SO-2,Oklahoma State,05:35.0,20:49.1,35
39,Kenadi Krueger,SR-4,Kansas,05:35.3,20:50.3,36
40,Bella Heikes,SR-4,Iowa State,05:35.6,20:51.2,37
41,Riley Beach,JR-3,Iowa State,05:35.7,20:51.7,38
42,Lauren Ping,FR-1,Oklahoma State,05:36.3,20:53.8,39
43,Lilly Lavier,JR-3,Oklahoma State,05:36.9,20:56.3,
44,Madi Surber,SO-2,Oklahoma State,05:38.1,21:00.7,
45,Marika Couture,FR-1,Utah,05:38.3,21:01.5,40
46,Natalie Cook,SO-2,Colorado,05:39.0,21:04.2,41
47,Ruby Hughes,FR-1,Iowa State,05:39.7,21:06.5,42
48,Lily Mather,JR-3,Texas Tech,05:40.2,21:08.4,43
49,Tabitha Ngao,SO-2,TCU,05:40.4,21:09.1,44
50,Sheridan Wheeler,SO-2,Iowa State,05:40.6,21:10.0,45
51,Christine Jerono,FR-1,Kansas State,05:40.8,21:10.7,46
52,Taylor Briggs,SR-4,Iowa State,05:40.9,21:10.9,47
53,Caroline Mehlhorn,FR-1,Colorado,05:41.3,21:12.6,48
54,Lindsey Peters,JR-3,Utah,05:41.6,21:13.8,49
55,Grace Ping,SO-2,Oklahoma State,05:41.7,21:14.2,
56,Emily Chaston,SR-4,Utah,05:41.7,21:14.2,
57,Emmaculate Jemutai,FR-1,Kansas,05:43.6,21:21.3,50
58,Grace Meyer,JR-3,Kansas State,05:43.8,21:21.7,51
59,Tecla Lokrale,SO-2,West Virginia,05:43.9,21:22.3,52
60,Grace Moroney,SO-2,Utah,05:44.9,21:26.1,
61,Kiki Connell,SR-4,Iowa State,05:45.2,21:27.0,53
62,Aspen Fulbright,JR-3,Iowa State,05:45.3,21:27.4,
63,Tori Wingrove,JR-3,Kansas,05:45.8,21:29.3,54
64,Elliot Pribramsky,SO-2,Colorado,05:45.9,21:29.8,55
65,Becca Heitzig,FR-1,Iowa State,05:46.9,21:33.4,
66,Sona Kourilova,JR-3,Utah,05:47.9,21:37.1,
67,Alexis Lamb,SO-2,West Virginia,05:48.3,21:38.6,56
68,Ashlyn Keeney,JR-3,Iowa State,05:49.0,21:41.1,
69,Delaney Fitzgerald,SO-2,Kansas,05:49.0,21:41.3,57
70,Taytum Goodman,FR-1,Texas Tech,05:49.8,21:44.2,58
71,Gwen Stare,JR-3,Cincinnati,05:50.4,21:46.3,59
72,Cadence Patterson,FR-1,Houston,05:51.5,21:50.6,60
73,Louise Lounes,JR-3,Colorado,05:52.0,21:52.6,61
74,Mia Chavez,JR-3,Arizona State,05:52.0,21:52.6,62
75,Penelope Sosa,JR-3,UCF,05:52.1,21:52.9,63
76,Hannah Spears,JR-3,Texas Tech,05:52.7,21:54.9,64
77,Taylor Limbaugh,SR-4,Texas Tech,05:52.7,21:55.0,65
78,Avery Latto,FR-1,UCF,05:53.1,21:56.4,66
79,Jocey Willis,SO-2,Cincinnati,05:54.0,22:00.1,67
80,Whitney Valenti,JR-3,Colorado,05:55.1,22:04.0,
81,Mckenzie Bailey,SO-2,TCU,05:55.2,22:04.5,68
82,Mary Delaney,FR-1,West Virginia,05:55.3,22:04.7,
83,Kaitlyn Swartz,FR-1,Kansas,05:55.4,22:05.0,69
84,Emma Hadley,FR-1,Colorado,05:55.7,22:06.1,
85,Kendall Hughes,JR-3,UCF,05:56.0,22:07.3,70
86,Gracie Jacobs,FR-1,Kansas State,05:57.2,22:12.0,71
87,Abby Clements,SO-2,UCF,05:57.4,22:12.4,72
88,Jenna Carter,SO-2,Texas Tech,05:58.8,22:17.7,
89,Alexia (Lex) Escalera Mack,FR-1,Texas Tech,05:59.4,22:20.1,
90,Ella Perry,FR-1,Baylor,05:59.6,22:20.9,73
91,Cecilia Fisher,JR-3,Kansas State,06:00.0,22:22.2,74
92,Emily Pharris,FR-1,Houston,06:00.3,22:23.3,75
93,Christina Allen,FR-1,Cincinnati,06:00.6,22:24.7,76
94,Paige Baker,SO-2,Kansas State,06:01.2,22:26.8,77
95,Jackie Addy,SR-4,Baylor,06:01.5,22:27.9,78
96,Paige Jaszczak,JR-3,UCF,06:02.0,22:29.8,79
97,Olivia Andrews,SO-2,TCU,06:02.1,22:30.1,80
98,Riley Jaszczak,JR-3,UCF,06:02.5,22:31.7,81
99,Bree Newport,FR-1,Kansas State,06:02.6,22:32.1,82
100,Liliana Campos,FR-1,Houston,06:02.8,22:32.7,83
101,Eva Rinker,SO-2,West Virginia,06:04.0,22:37.1,
102,Brooklyn Hanania,FR-1,Arizona,06:04.4,22:38.9,84
103,Ann Claire Cop,FR-1,Houston,06:04.6,22:39.6,85
104,Ava Santora,FR-1,TCU,06:05.0,22:40.8,86
105,Laina Friedmann,FR-1,Arizona,06:05.9,22:44.3,87
106,Madelyn Hunter,FR-1,Houston,06:06.2,22:45.3,88
107,Ava Quattrocchi,FR-1,UCF,06:06.6,22:47.1,89
108,Mia Heine,FR-1,Cincinnati,06:07.6,22:50.6,90
109,Jordan Ledington,SR-4,Baylor,06:08.7,22:54.7,91
110,Eden Schwarz,SR-4,Kansas,06:08.8,22:55.0,92
111,Gabby Martin,JR-3,TCU,06:09.6,22:58.2,93
112,Laura Holansky,SO-2,Arizona,06:09.8,22:58.9,94
113,Aubrie Custer,SO-2,West Virginia,06:10.1,23:00.0,
114,Kate Selover,SO-2,TCU,06:10.2,23:00.5,95
115,Rosanna Pugh,SO-2,Baylor,06:10.3,23:00.5,96
116,Emmy Stoll,FR-1,TCU,06:10.4,23:01.0,97
117,Riley Ries,SO-2,Texas Tech,06:10.5,23:01.5,
118,Alisa Lyesina,SR-4,Arizona,06:10.6,23:01.8,98
119,Julia Shimel,FR-1,Houston,06:10.6,23:01.9,99
120,Kara Mickelson,JR-3,Arizona,06:10.8,23:02.6,100
121,Amanda Cooper,SO-2,Cincinnati,06:12.9,23:10.5,101
122,Laya Erickson,FR-1,Kansas,06:13.6,23:12.9,
123,Anna Garner,SR-4,Baylor,06:14.0,23:14.6,102
124,Sara Crociani,FR-1,Arizona,06:14.9,23:17.8,103
125,Jordan White,SO-2,TCU,06:15.2,23:18.9,
126,Alaina Zamorano,SR-4,Baylor,06:15.8,23:21.0,104
127,Abigail Street,SO-2,Kansas,06:16.3,23:23.3,
128,Peyten Woodruff,JR-3,TCU,06:16.6,23:24.3,
129,Kat Helmer,SO-2,Baylor,06:18.2,23:30.2,
130,Savannah Dennison,SO-2,Cincinnati,06:20.3,23:37.9,105
131,Alexa Rios,JR-3,Kansas State,06:21.8,23:43.4,106
132,Kylie Miller,SR-4,Arizona State,06:25.8,23:58.5,107
133,Elena Horn,SO-2,Cincinnati,06:26.3,24:00.2,
134,Josey Whitaker,SO-2,TCU,06:27.1,24:03.4,
135,Sage Patzer,SO-2,Arizona,06:29.3,24:11.7,108
136,Clara Diepenbrock,FR-1,Baylor,06:32.0,24:21.7,
137,Jordan Lee,FR-1,Arizona State,06:39.3,24:48.9,109
138,Kate Miller,JR-3,Arizona State,06:43.6,25:04.9,110
139,Ashley Tarasenko,FR-1,Arizona State,06:58.5,26:00.5,111
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,