Match,Start Time,Red 1,Red 2,Red 3,Blue 1,Blue 2,Blue 3,Red Final,Blue Final
Qualification 1  ,Fri 3/7 - 8:59 AM,4213,1810,5576,3928,167,6419,49,85
Qualification 2  ,Fri 3/7 - 9:14 AM,1756,5968,4646,1939,8825,1987,147,115
Qualification 3  ,Fri 3/7 - 9:23 AM,,3184,9031,1997,5809,5141,19,38
Qualification 4  ,Fri 3/7 - 9:37 AM,1736,3284,2718,4766,9570,7662,97,39
Qualification 5  ,Fri 3/7 - 9:47 AM,5801,5126,1723,1806,1785,2357,86,55
Qualification 6  ,Fri 3/7 - 9:56 AM,4522,1710,2996,4187,1763,9316,154,27
Qualification 7  ,Fri 3/7 - 10:07 AM,4646,3928,,9031,1987,1756,102,129
Qualification 8  ,Fri 3/7 - 10:15 AM,9570,3284,6419,7662,1736,167,22,79
Qualification 9  ,Fri 3/7 - 10:24 AM,5141,3184,4213,5801,5968,8825,81,89
Qualification 10  ,Fri 3/7 - 10:33 AM,9316,5126,1939,4766,1763,1810,63,67
Qualification 11  ,Fri 3/7 - 10:41 AM,4187,4522,1723,5809,1785,1710,86,96
Qualification 12  ,Fri 3/7 - 10:48 AM,2718,5576,2357,2996,1806,1997,52,62
Qualification 13  ,Fri 3/7 - 10:58 AM,1987,4213,3284,9031,5141,7662,107,20
Qualification 14  ,Fri 3/7 - 11:07 AM,9316,5801,8112,1939,1736,4646,74,100
Qualification 15  ,Fri 3/7 - 11:26 AM,5968,4766,1785,1710,1763,9570,58,64
Qualification 16  ,Fri 3/7 - 11:34 AM,4522,1810,5809,1756,2996,5126,109,141
Qualification 17  ,Fri 3/7 - 11:42 AM,167,1997,2718,4187,2357,3928,117,102
Qualification 18  ,Fri 3/7 - 11:53 AM,5576,6419,1806,3184,8825,1723,24,51
Qualification 19  ,Fri 3/7 - 12:02 PM,8112,9570,5968,4213,1710,5801,31,117
Qualification 20  ,Fri 3/7 - 1:04 PM,1736,2996,1763,5141,5126,1987,113,73
Qualification 21  ,Fri 3/7 - 1:14 PM,1997,2357,7662,4522,1756,3928,79,170
Qualification 22  ,Fri 3/7 - 1:22 PM,1723,9031,4766,1810,2718,8825,50,104
Qualification 23  ,Fri 3/7 - 1:33 PM,1806,4187,1939,6419,3184,9316,30,52
Qualification 24  ,Fri 3/7 - 1:48 PM,3284,1785,167,4646,5809,5576,95,107
Qualification 25  ,Fri 3/7 - 2:00 PM,2996,7662,1987,8112,4522,5126,114,94
Qualification 26  ,Fri 3/7 - 2:08 PM,3928,4766,5141,1997,4213,1723,107,60
Qualification 27  ,Fri 3/7 - 2:18 PM,3184,5968,1763,1756,6419,2357,56,101
Qualification 28  ,Fri 3/7 - 2:29 PM,1710,2718,1806,3284,9316,4646,87,74
Qualification 29  ,Fri 3/7 - 2:37 PM,1810,9031,1939,167,9570,5801,46,134
Qualification 30  ,Fri 3/7 - 2:45 PM,5809,8825,4187,1785,5576,1736,44,60
Qualification 31  ,Fri 3/7 - 2:53 PM,2357,4522,3184,5968,3928,4213,89,73
Qualification 32  ,Fri 3/7 - 3:12 PM,4646,1806,4766,7662,8112,1763,82,19
Qualification 33  ,Fri 3/7 - 3:21 PM,1810,1710,1987,6419,1939,2718,99,44
Qualification 34  ,Fri 3/7 - 3:29 PM,9031,5801,1736,2996,5141,5576,104,53
Qualification 35  ,Fri 3/7 - 3:38 PM,5809,167,5126,9316,8825,1997,94,44
Qualification 36  ,Fri 3/7 - 3:46 PM,1723,3284,1756,1785,4187,9570,105,53
Qualification 37  ,Fri 3/7 - 3:55 PM,6419,4646,1810,1763,4213,4522,83,106
Qualification 38  ,Fri 3/7 - 4:05 PM,5576,1987,5801,2357,4766,8112,82,93
Qualification 39  ,Fri 3/7 - 4:15 PM,5809,9031,2718,1736,5968,1710,65,107
Qualification 40  ,Fri 3/7 - 4:26 PM,5126,9570,8825,3284,1997,4187,69,56
Qualification 41  ,Fri 3/7 - 4:36 PM,3928,7662,3184,1785,9316,2996,79,89
Qualification 42  ,Fri 3/7 - 4:44 PM,5141,1723,1806,1939,167,1756,32,144
Qualification 43  ,Fri 3/7 - 4:52 PM,5801,2718,4522,1763,6419,9031,127,14
Qualification 44  ,Fri 3/7 - 5:06 PM,5126,1810,3284,4187,4646,4213,111,114
Qualification 45  ,Fri 3/7 - 5:15 PM,8825,1736,2357,3928,5809,9570,95,97
Qualification 46  ,Fri 3/7 - 5:24 PM,1710,1756,1997,1939,8112,1785,139,28
Qualification 47  ,Fri 3/7 - 5:32 PM,3184,2996,4766,1987,1806,167,104,129
Qualification 48  ,Fri 3/7 - 5:41 PM,9316,5141,5968,7662,1723,5576,82,35
Qualification 49  ,Sat 3/8 - 8:56 AM,6419,4187,1736,9031,2357,5126,69,67
Qualification 50  ,Sat 3/8 - 9:06 AM,5801,1763,3928,3284,8112,1710,88,96
Qualification 51  ,Sat 3/8 - 9:21 AM,9570,1997,1810,4646,1987,3184,44,97
Qualification 52  ,Sat 3/8 - 9:29 AM,1785,1756,5141,2718,4766,9316,137,89
Qualification 53  ,Sat 3/8 - 9:38 AM,167,5576,5968,8825,4522,1806,84,106
Qualification 54  ,Sat 3/8 - 9:45 AM,4213,1939,7662,1723,2996,5809,123,120
Qualification 55  ,Sat 3/8 - 9:53 AM,1763,1987,1997,3184,5801,4187,47,99
Qualification 56  ,Sat 3/8 - 10:01 AM,5126,3928,1785,2718,4646,5141,52,101
Qualification 57  ,Sat 3/8 - 10:09 AM,9570,9316,9031,4766,5576,4522,32,95
Qualification 58  ,Sat 3/8 - 10:26 AM,4213,1736,5809,1806,1810,1756,107,87
Qualification 59  ,Sat 3/8 - 10:37 AM,2357,1710,1939,8825,7662,3284,112,80
Qualification 60  ,Sat 3/8 - 10:44 AM,2996,167,8112,5968,1723,6419,107,58
Qualification 61  ,Sat 3/8 - 10:51 AM,1763,1785,4646,5576,3928,9031,85,32
Qualification 62  ,Sat 3/8 - 10:59 AM,1806,9316,4213,1987,2718,9570,22,105
Qualification 63  ,Sat 3/8 - 11:13 AM,1756,7662,4187,4766,5801,5809,84,109
Qualification 64  ,Sat 3/8 - 11:23 AM,167,1723,1710,1736,5126,3184,121,98
Qualification 65  ,Sat 3/8 - 11:32 AM,5141,8112,8825,1810,2357,2996,23,120
Qualification 66  ,Sat 3/8 - 11:40 AM,1997,6419,4522,5968,1939,3284,126,91