Round,Date,Time,Home,Away,Home_Score,Away_Score
27,2025-03-03,13:45,Juventus,Verona,2,0
27,2025-03-02,13:45,AC Milan,Lazio,1,2
27,2025-03-02,11:00,AS Roma,Como,2,1
27,2025-03-02,8:00,Bologna,Cagliari,2,1
27,2025-03-02,8:00,Genoa,Empoli,1,1
27,2025-03-02,5:30,Monza,Torino,0,2
27,2025-03-01,13:45,Udinese,Parma,1,0
27,2025-03-01,11:00,Napoli,Inter,1,1
27,2025-03-01,8:00,Atalanta,Venezia,0,0
27,2025-02-28,13:45,Fiorentina,Lecce,1,0
9,2025-02-27,13:45,Bologna,AC Milan,2,1
26,2025-02-24,13:45,AS Roma,Monza,4,0
26,2025-02-23,13:45,Cagliari,Juventus,0,1
26,2025-02-23,11:00,Empoli,Atalanta,0,5
26,2025-02-23,8:00,Verona,Fiorentina,1,0
26,2025-02-23,5:30,Como,Napoli,2,1
26,2025-02-22,13:45,Inter,Genoa,1,0
26,2025-02-22,11:00,Torino,AC Milan,2,1
26,2025-02-22,8:00,Parma,Bologna,2,0
26,2025-02-22,8:00,Venezia,Lazio,0,0
26,2025-02-21,13:45,Lecce,Udinese,0,1
25,2025-02-17,13:45,Genoa,Venezia,2,0
25,2025-02-16,13:45,Juventus,Inter,1,0
25,2025-02-16,11:00,Parma,AS Roma,0,1
25,2025-02-16,8:00,Monza,Lecce,0,0
25,2025-02-16,8:00,Udinese,Empoli,3,0
25,2025-02-16,5:30,Fiorentina,Como,0,2
25,2025-02-15,13:45,AC Milan,Verona,1,0
25,2025-02-15,11:00,Lazio,Napoli,2,2
25,2025-02-15,8:00,Atalanta,Cagliari,0,0
25,2025-02-14,13:45,Bologna,Torino,3,2
24,2025-02-10,13:45,Inter,Fiorentina,2,1
24,2025-02-09,13:45,Napoli,Udinese,1,1
24,2025-02-09,11:00,Lecce,Bologna,0,0
24,2025-02-09,8:00,Cagliari,Parma,2,1
24,2025-02-09,8:00,Lazio,Monza,5,1
24,2025-02-09,5:30,Venezia,AS Roma,0,1
24,2025-02-08,13:45,Torino,Genoa,1,1
24,2025-02-08,11:00,Empoli,AC Milan,0,2
24,2025-02-08,8:00,Verona,Atalanta,0,5
24,2025-02-07,13:45,Como,Juventus,1,2
14,2025-02-06,13:45,Fiorentina,Inter,3,0
23,2025-02-03,13:45,Cagliari,Lazio,1,2
23,2025-02-02,13:45,AS Roma,Napoli,1,1
23,2025-02-02,11:00,AC Milan,Inter,1,1
23,2025-02-02,8:00,Fiorentina,Genoa,2,1
23,2025-02-02,5:30,Juventus,Empoli,4,1
23,2025-02-01,13:45,Bologna,Como,2,0
23,2025-02-01,11:00,Atalanta,Torino,1,1
23,2025-02-01,8:00,Monza,Verona,0,1
23,2025-02-01,8:00,Udinese,Venezia,3,2
23,2025-01-31,13:45,Parma,Lecce,1,3
22,2025-01-27,13:45,Genoa,Monza,2,0
22,2025-01-27,11:30,Venezia,Verona,1,1
22,2025-01-26,13:45,Lazio,Fiorentina,1,2
22,2025-01-26,11:00,Lecce,Inter,0,4
22,2025-01-26,8:00,Udinese,AS Roma,1,2
22,2025-01-26,5:30,AC Milan,Parma,3,2
22,2025-01-25,13:45,Empoli,Bologna,1,1
22,2025-01-25,11:00,Napoli,Juventus,2,1
22,2025-01-25,8:00,Como,Atalanta,1,2
22,2025-01-24,13:45,Torino,Cagliari,2,0
21,2025-01-20,13:45,Como,Udinese,4,1
21,2025-01-19,13:45,Inter,Empoli,3,1
21,2025-01-19,11:00,Verona,Lazio,0,3
21,2025-01-19,8:00,Cagliari,Lecce,4,1
21,2025-01-19,8:00,Parma,Venezia,1,1
21,2025-01-19,5:30,Fiorentina,Torino,1,1
21,2025-01-18,13:45,Atalanta,Napoli,2,3
21,2025-01-18,11:00,Juventus,AC Milan,2,0
21,2025-01-18,8:00,Bologna,Monza,3,1
21,2025-01-17,13:45,AS Roma,Genoa,3,1
19,2025-01-15,13:45,Inter,Bologna,2,2
19,2025-01-14,13:45,Atalanta,Juventus,1,1
19,2025-01-14,11:30,Como,AC Milan,1,2
20,2025-01-13,13:45,Monza,Fiorentina,2,1
20,2025-01-12,13:45,Napoli,Verona,2,0
20,2025-01-12,11:00,Bologna,AS Roma,2,2
20,2025-01-12,8:00,Venezia,Inter,0,1
20,2025-01-12,5:30,Genoa,Parma,1,0
20,2025-01-11,13:45,AC Milan,Cagliari,1,1
20,2025-01-11,11:00,Torino,Juventus,1,1
20,2025-01-11,8:00,Empoli,Lecce,1,3
20,2025-01-11,8:00,Udinese,Atalanta,0,0
20,2025-01-10,13:45,Lazio,Como,1,1
19,2025-01-05,13:45,AS Roma,Lazio,2,0
19,2025-01-05,11:00,Torino,Parma,0,0
19,2025-01-05,8:00,Lecce,Genoa,0,0
19,2025-01-05,5:30,Monza,Cagliari,1,2
19,2025-01-04,13:45,Verona,Udinese,0,0
19,2025-01-04,11:00,Fiorentina,Napoli,0,3
19,2025-01-04,8:00,Venezia,Empoli,1,1
18,2024-12-30,13:45,Bologna,Verona,2,3
18,2024-12-30,11:30,Como,Lecce,2,0
18,2024-12-29,13:45,AC Milan,AS Roma,1,1
18,2024-12-29,11:00,Juventus,Fiorentina,2,2
18,2024-12-29,8:00,Napoli,Venezia,1,0
18,2024-12-29,5:30,Udinese,Torino,2,2
18,2024-12-28,13:45,Lazio,Atalanta,1,1
18,2024-12-28,11:00,Cagliari,Inter,0,3
18,2024-12-28,8:00,Empoli,Genoa,1,2
18,2024-12-28,8:00,Parma,Monza,2,1
17,2024-12-23,13:45,Inter,Como,2,0
17,2024-12-23,11:00,Fiorentina,Udinese,1,2
17,2024-12-22,13:45,Monza,Juventus,1,2
17,2024-12-22,11:00,Atalanta,Empoli,3,2
17,2024-12-22,8:00,Venezia,Cagliari,2,1
17,2024-12-22,5:30,AS Roma,Parma,5,0
17,2024-12-21,13:45,Lecce,Lazio,1,2
17,2024-12-21,11:00,Genoa,Napoli,1,2
17,2024-12-21,8:00,Torino,Bologna,0,2
17,2024-12-20,13:45,Verona,AC Milan,0,1
16,2024-12-16,13:45,Lazio,Inter,0,6
16,2024-12-15,13:45,AC Milan,Genoa,0,0
16,2024-12-15,11:00,Como,AS Roma,2,0
16,2024-12-15,8:00,Bologna,Fiorentina,1,0
16,2024-12-15,8:00,Parma,Verona,2,3
16,2024-12-15,5:30,Lecce,Monza,2,1
16,2024-12-14,13:45,Juventus,Venezia,2,2
16,2024-12-14,11:00,Udinese,Napoli,1,3
16,2024-12-14,8:00,Cagliari,Atalanta,0,1
16,2024-12-13,13:45,Empoli,Torino,0,1
15,2024-12-09,13:45,Monza,Udinese,1,2
15,2024-12-08,13:45,Napoli,Lazio,0,1
15,2024-12-08,11:00,Venezia,Como,2,2
15,2024-12-08,8:00,Verona,Empoli,1,4
15,2024-12-08,5:30,Fiorentina,Cagliari,1,0
15,2024-12-07,13:45,AS Roma,Lecce,4,1
15,2024-12-07,11:00,Juventus,Bologna,2,2
15,2024-12-07,8:00,Genoa,Torino,0,0
15,2024-12-06,13:45,Atalanta,AC Milan,2,1
15,2024-12-06,11:30,Inter,Parma,3,1
14,2024-12-02,13:45,AS Roma,Atalanta,0,2
14,2024-12-01,13:45,Lecce,Juventus,1,1
14,2024-12-01,8:00,Parma,Lazio,3,1
14,2024-12-01,8:00,Torino,Napoli,0,1
14,2024-12-01,5:30,Udinese,Genoa,0,2
14,2024-11-30,13:45,Bologna,Venezia,3,0
14,2024-11-30,11:00,AC Milan,Empoli,3,0
14,2024-11-30,8:00,Como,Monza,1,1
14,2024-11-29,13:45,Cagliari,Verona,1,0
13,2024-11-25,13:45,Venezia,Lecce,0,1
13,2024-11-25,11:30,Empoli,Udinese,1,1
13,2024-11-24,13:45,Lazio,Bologna,3,0
13,2024-11-24,11:00,Napoli,AS Roma,1,0
13,2024-11-24,8:00,Como,Fiorentina,0,2
13,2024-11-24,8:00,Torino,Monza,1,1
13,2024-11-24,5:30,Genoa,Cagliari,2,2
13,2024-11-23,13:45,Parma,Atalanta,1,3
13,2024-11-23,11:00,AC Milan,Juventus,0,0
13,2024-11-23,8:00,Verona,Inter,0,5
12,2024-11-10,13:45,Inter,Napoli,1,1
12,2024-11-10,11:00,Monza,Lazio,0,1
12,2024-11-10,8:00,AS Roma,Bologna,2,3
12,2024-11-10,8:00,Fiorentina,Verona,3,1
12,2024-11-10,5:30,Atalanta,Udinese,2,1
12,2024-11-09,13:45,Juventus,Torino,2,0
12,2024-11-09,11:00,Cagliari,AC Milan,3,3
12,2024-11-09,8:00,Venezia,Parma,1,2
12,2024-11-08,13:45,Lecce,Empoli,1,1
12,2024-11-07,13:45,Genoa,Como,1,1
11,2024-11-04,13:45,Lazio,Cagliari,2,1
11,2024-11-04,11:30,Empoli,Como,1,0
11,2024-11-04,11:30,Parma,Genoa,0,1
11,2024-11-03,13:45,Inter,Venezia,1,0
11,2024-11-03,11:00,Verona,AS Roma,3,2
11,2024-11-03,8:00,Torino,Fiorentina,0,1
11,2024-11-03,5:30,Napoli,Atalanta,0,3
11,2024-11-02,14:45,Monza,AC Milan,0,1
11,2024-11-02,12:00,Udinese,Juventus,0,2
11,2024-11-02,9:00,Bologna,Lecce,1,0
10,2024-10-31,14:45,AS Roma,Torino,1,0
10,2024-10-31,14:45,Como,Lazio,1,5
10,2024-10-31,12:30,Genoa,Fiorentina,0,1
10,2024-10-30,14:45,Atalanta,Monza,2,0
10,2024-10-30,14:45,Juventus,Parma,2,2
10,2024-10-30,12:30,Empoli,Inter,0,3
10,2024-10-30,12:30,Venezia,Udinese,3,2
10,2024-10-29,14:45,AC Milan,Napoli,0,2
10,2024-10-29,12:30,Cagliari,Bologna,0,2
10,2024-10-29,12:30,Lecce,Verona,1,0
9,2024-10-27,14:45,Fiorentina,AS Roma,5,1
9,2024-10-27,12:00,Inter,Juventus,4,4
9,2024-10-27,9:00,Lazio,Genoa,3,0
9,2024-10-27,9:00,Monza,Venezia,2,2
9,2024-10-27,6:30,Parma,Empoli,1,1
9,2024-10-26,13:45,Atalanta,Verona,6,1
9,2024-10-26,8:00,Napoli,Lecce,1,0
9,2024-10-25,13:45,Torino,Como,1,0
9,2024-10-25,11:30,Udinese,Cagliari,2,0
8,2024-10-21,13:45,Verona,Monza,0,3
8,2024-10-20,13:45,AS Roma,Inter,0,1
8,2024-10-20,11:00,Cagliari,Torino,3,2
8,2024-10-20,8:00,Lecce,Fiorentina,0,6
8,2024-10-20,8:00,Venezia,Atalanta,0,2
8,2024-10-20,5:30,Empoli,Napoli,0,1
8,2024-10-19,13:45,Juventus,Lazio,1,0
8,2024-10-19,11:00,AC Milan,Udinese,1,0
8,2024-10-19,8:00,Como,Parma,1,1
8,2024-10-19,8:00,Genoa,Bologna,2,2
7,2024-10-06,13:45,Fiorentina,AC Milan,2,1
7,2024-10-06,11:00,Monza,AS Roma,1,1
7,2024-10-06,8:00,Bologna,Parma,0,0
7,2024-10-06,8:00,Lazio,Empoli,2,1
7,2024-10-06,5:30,Juventus,Cagliari,1,1
7,2024-10-05,13:45,Inter,Torino,3,2
7,2024-10-05,11:00,Atalanta,Genoa,5,1
7,2024-10-05,8:00,Udinese,Lecce,1,0
7,2024-10-04,13:45,Verona,Venezia,2,1
7,2024-10-04,11:30,Napoli,Como,3,1
6,2024-09-30,13:45,Parma,Cagliari,2,3
6,2024-09-29,13:45,Napoli,Monza,2,0
6,2024-09-29,11:00,Empoli,Fiorentina,0,0
6,2024-09-29,8:00,AS Roma,Venezia,2,1
6,2024-09-29,8:00,Como,Verona,3,2
6,2024-09-29,5:30,Torino,Lazio,2,3
6,2024-09-28,13:45,Bologna,Atalanta,1,1
6,2024-09-28,11:00,Genoa,Juventus,0,3
6,2024-09-28,8:00,Udinese,Inter,2,3
6,2024-09-27,13:45,AC Milan,Lecce,3,0
5,2024-09-24,13:45,Atalanta,Como,2,3
5,2024-09-22,13:45,Inter,AC Milan,1,2
5,2024-09-22,11:00,AS Roma,Udinese,3,0
5,2024-09-22,8:00,Monza,Bologna,1,2
5,2024-09-22,5:30,Fiorentina,Lazio,2,1
5,2024-09-21,13:45,Lecce,Parma,2,2
5,2024-09-21,11:00,Juventus,Napoli,0,0
5,2024-09-21,8:00,Venezia,Genoa,2,0
5,2024-09-20,13:45,Verona,Torino,2,3
5,2024-09-20,11:30,Cagliari,Empoli,0,2
4,2024-09-16,13:45,Lazio,Verona,2,1
4,2024-09-16,11:30,Parma,Udinese,2,3
4,2024-09-15,13:45,Monza,Inter,1,1
4,2024-09-15,11:00,Cagliari,Napoli,0,4
4,2024-09-15,8:00,Atalanta,Fiorentina,3,2
4,2024-09-15,8:00,Torino,Lecce,0,0
4,2024-09-15,5:30,Genoa,AS Roma,1,1
4,2024-09-14,13:45,AC Milan,Venezia,4,0
4,2024-09-14,11:00,Empoli,Juventus,0,0
4,2024-09-14,8:00,Como,Bologna,2,2
3,2024-09-01,13:45,Juventus,AS Roma,0,0
3,2024-09-01,13:45,Udinese,Como,1,0
3,2024-09-01,11:30,Fiorentina,Monza,2,2
3,2024-09-01,11:30,Genoa,Verona,0,2
3,2024-08-31,13:45,Lazio,AC Milan,2,2
3,2024-08-31,13:45,Napoli,Parma,2,1
3,2024-08-31,11:30,Bologna,Empoli,1,1
3,2024-08-31,11:30,Lecce,Cagliari,1,0
3,2024-08-30,13:45,Inter,Atalanta,4,0
3,2024-08-30,11:30,Venezia,Torino,0,1
2,2024-08-26,13:45,Verona,Juventus,0,3
2,2024-08-26,11:30,Cagliari,Como,1,1
2,2024-08-25,13:45,AS Roma,Empoli,1,2
2,2024-08-25,13:45,Napoli,Bologna,3,0
2,2024-08-25,11:30,Fiorentina,Venezia,0,0
2,2024-08-25,11:30,Torino,Atalanta,2,1
2,2024-08-24,13:45,Inter,Lecce,2,0
2,2024-08-24,13:45,Monza,Genoa,0,1
2,2024-08-24,11:30,Parma,AC Milan,2,1
2,2024-08-24,11:30,Udinese,Lazio,2,1
1,2024-08-19,13:45,Juventus,Como,3,0
1,2024-08-19,11:30,Lecce,Atalanta,0,4
1,2024-08-18,13:45,Cagliari,AS Roma,0,0
1,2024-08-18,13:45,Lazio,Venezia,3,1
1,2024-08-18,11:30,Bologna,Udinese,1,1
1,2024-08-18,11:30,Verona,Napoli,3,0
1,2024-08-17,13:45,AC Milan,Torino,2,2
1,2024-08-17,13:45,Empoli,Monza,0,0
1,2024-08-17,11:30,Genoa,Inter,2,2
1,2024-08-17,11:30,Parma,Fiorentina,1,1